Unnamed: 0,Unnamed: 1,us,af,cn,me,sa,la,pa,ec,eu,se,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
211.0,All N2O emi except agri para a,0,0.0252,0.0671,0.007,0.05,0.0048,-0.0009,0.0012,0,0.009,,af,cn,me,sa,la,pa,ec,se,,,
212.0,All N2O emi except agri para b,0.1,0.0484,0.0035,0.043,0,0.0858,0.2027,0.1361,0.1,0.0309,,US and EU handled with separate function,,,,,,,,,,
213.0,CH4 emi from energy para a,3,25,9.7,22.561,3.2,6.9187,3.7161,16,3,6,,af,cn,me,sa,la,pa,ec,se,,,
214.0,CH4 emi from energy para b,0.1,0.6,0.756,0.5886,-0.2,0.7615,0.0535,-0.7615,0.1,0.4,,US and EU handled with separate function,,,,,,,,,,
215.0,CH4 emi from waste para a,-4.858,1,1,3.672,3,7.082,-0.235,1.53,-3.947,7,,us,me,sa,la,pa,ec,eu,se,,,
216.0,CH4 emi from waste para b,25.387,1,1,-4.58,1,-11.039,3.4589,0.5983,22.115,-6,,CN and AF handled with separate function,,,,,,,,,,
217.0,oth crop pp para a,61.5666,155.265,218.985,103.477,89.3181,713.147,44.8079,-63.6056,-118.483,113.732,,,,,,,,,,,,
218.0,oth crop pp para b,351.895,288.935,157.457,149.41,322.62,-129.904,285.873,820.263,1183.46,280.016,,,,,,,,,,,,
219.0,Desired net export of crops,0.23,0,0,-0.2,0,0.3,0,0.3,0.05,0.4,,,,,,,,,,,,
220.0,CH4 emissions from agri MtCH4 pr yr para a,3,10.342,3.12151,0.8249,10,9.1509,-1.7,8.6162,5.3,4.08118,,,,,,,,,,,,
221.0,CH4 emissions from agri MtCH4 pr yr para b,1.672,0.605134,14.4031,1.75,5,-1.6894,9.06,-8.3246,-1.75,8.71646,,,,,,,,,,,,
222.0,AfCnUsEu GLDM L,300,720,393,300,300,300,300,300,100,300,,Grazing land desired for all meat func,,,,,,,,,,
223.0,AfCnUsEu GLDM k,0.00344,0.1,0.107,0,0,0,0,0,0.0131,0,,af,cn,us,eu,,,,,,,
224.0,AfCnUsEu GLDM x,-418,-14,-0.127,1,1,1,1,1,-96,1,,,,,,,,,,,,
225.0,Fraction of N use saved by regenerative practice,0.1,1,1,1,1,1,1,1,0.1,1,,,,,,,,,,,,
226.0,SoE of crop imbalance on N use,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
227.0,Crop yield tCrop pr ha yr in 1980,2.5,1.5,4.8,1.6,2,1.6,2.33,1.6,4.5,3.2,,,,,,,,,,,,
228.0,Fraction of supply deviation to be closed by yield adjustment,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
